TimeStamp,ask1,bid1,VWAP
20230706135145400,6.65,6.65,6.648142386982631
20230706135151350,6.65,6.65,6.648142386982631
20230706135153960,6.65,6.65,6.648144299833271
20230706135156380,6.65,6.65,6.648144299833271
20230706135156840,6.65,6.65,6.648144299833271
20230706135202020,6.65,6.65,6.648144299833271
20230706135215470,6.65,6.65,6.648144299833271
20230706135220710,6.65,6.65,6.648144299833271
20230706135223000,6.65,6.65,6.648144299833271
20230706135225990,6.65,6.65,6.648144299833271
20230706135226390,6.65,6.65,6.648144299833271
20230706135228720,6.65,6.65,6.648144299833271
20230706135233820,6.65,6.65,6.648144299833271
20230706135233870,6.65,6.65,6.648144299833271
20230706135234220,6.65,6.65,6.648144299833271
20230706135239130,6.65,6.65,6.648144299833271
20230706135242740,6.65,6.65,6.648144299833271
20230706135242760,6.65,6.65,6.648144299833271
20230706135244990,6.65,6.65,6.648144299833271
20230706135245050,6.65,6.65,6.648144299833271
20230706135250850,6.65,6.65,6.648144299833271
20230706135250870,6.65,6.65,6.648144299833271
20230706135250980,6.65,6.65,6.648157546602525
20230706135256070,6.65,6.65,6.648169378347445
20230706135256090,6.65,6.65,6.648169378347445
20230706135258290,6.65,6.65,6.648169378347445
20230706135301500,6.65,6.65,6.648169378347445
20230706135311810,6.65,6.65,6.648169378347445
20230706135317430,6.65,6.65,6.648169378347445
20230706135320670,6.65,6.65,6.648169378347445
20230706135320680,6.65,6.65,6.648169378347445
20230706135322220,6.65,6.65,6.648169378347445
20230706135325330,6.65,6.65,6.648169378347445
20230706135328020,6.65,6.65,6.648169378347445
20230706135335930,6.65,6.65,6.648169378347445
20230706135336480,6.65,6.65,6.648169378347445
20230706135344900,6.65,6.65,6.648181186473869
20230706135344940,6.65,6.65,6.648181186473869
20230706135346640,6.65,6.65,6.648181186473869
20230706135352030,6.65,6.65,6.648181186473869
20230706135358310,6.65,6.65,6.648181186473869
20230706135358460,6.65,6.65,6.648181186473869
20230706135401070,6.65,6.65,6.648181186473869
20230706135401080,6.65,6.65,6.648181186473869
20230706135401090,6.65,6.65,6.648181186473869
20230706135401210,6.65,6.65,6.648181186473869
20230706135403110,6.65,6.65,6.648181186473869
20230706135408610,6.65,6.65,6.648181186473869
20230706135410810,6.65,6.65,6.648181186473869
20230706135411810,6.65,6.65,6.648181186473869
20230706135414240,6.65,6.65,6.648181186473869
20230706135419830,6.65,6.65,6.648181186473869
20230706135428040,6.65,6.65,6.648181186473869
20230706135435630,6.65,6.65,6.648181186473869
20230706135438190,6.65,6.65,6.648181186473869
20230706135444340,6.65,6.65,6.648181186473869
20230706135446340,6.65,6.65,6.648181186473869
20230706135449390,6.65,6.65,6.648181186473869
20230706135454140,6.65,6.65,6.648181186473869
20230706135454440,6.65,6.65,6.648181186473869
20230706135457100,6.65,6.65,6.648181186473869
20230706135502720,6.65,6.65,6.6482096023088895
20230706135507520,6.65,6.65,6.6482096023088895
20230706135510710,6.65,6.65,6.6482096023088895
20230706135510920,6.65,6.65,6.6482096023088895
20230706135510940,6.65,6.65,6.6482096023088895
20230706135512980,6.65,6.65,6.6482096023088895
20230706135512990,6.65,6.65,6.6482096023088895
20230706135513980,6.65,6.65,6.6482096023088895
20230706135521580,6.65,6.65,6.6482096023088895
20230706135522010,6.65,6.65,6.648209750902686
20230706135524290,6.65,6.65,6.648209750902686
20230706135526620,6.65,6.65,6.6482113851872855
20230706135534610,6.65,6.65,6.6482113851872855
20230706135535070,6.65,6.65,6.6482113851872855
20230706135537310,6.65,6.65,6.6482113851872855
20230706135537940,6.65,6.65,6.6482113851872855
20230706135542710,6.65,6.65,6.6482113851872855
20230706135545260,6.65,6.65,6.6482113851872855
