timestamp,trade_price,preclose,open,high,low,close,preclose_range,open_range,high_range,low_range,close_range,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,ask_volume_0,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4,ask_volume_5,ask_volume_6,ask_volume_7,ask_volume_8,ask_volume_9,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,bid_volume_0,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,bid_volume_5,bid_volume_6,bid_volume_7,bid_volume_8,bid_volume_9,ask_order_num_0,ask_order_num_1,ask_order_num_2,ask_order_num_3,ask_order_num_4,ask_order_num_5,ask_order_num_6,ask_order_num_7,ask_order_num_8,ask_order_num_9,bid_order_num_0,bid_order_num_1,bid_order_num_2,bid_order_num_3,bid_order_num_4,bid_order_num_5,bid_order_num_6,bid_order_num_7,bid_order_num_8,bid_order_num_9,ask_order_stale_0,ask_order_stale_1,ask_order_stale_2,ask_order_stale_3,ask_order_stale_4,ask_order_stale_5,ask_order_stale_6,ask_order_stale_7,ask_order_stale_8,ask_order_stale_9,bid_order_stale_0,bid_order_stale_1,bid_order_stale_2,bid_order_stale_3,bid_order_stale_4,bid_order_stale_5,bid_order_stale_6,bid_order_stale_7,bid_order_stale_8,bid_order_stale_9,order_num,volume,VWAP,amount,passive_num,passive_stale_total,order_num_range,volume_range,VWAP_range,amount_range,passive_num_range,passive_stale_total_range,passive_stale_avg_range,depth
20230704104551000,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,55600,136700,96725,145300,207631,209500,68900,546400,609600,574400,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,1000,317800,501800,655800,78700,94400,345600,6200,49600,40300,65,33,137,44,8,12,162,60,35,13,223,6,8,157,18,42,4,2,4,130,134275.88541666666,12902.942857142858,18184.21404682274,10474.42367601246,58526.97841726619,86245.68421052632,81585.89743589744,121988.50746268657,-1,-1,22942.36749116608,122070.3313253012,25900.0,-1,-1,-1,-1,-1,-1,-1,4218,5937762,6.72395877099823,39925266.879999995,1259,162554920.0,0,0,-1,0.0,0,-1,-1,202111.3088457862
20230704104554000,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,55600,136700,96725,145300,207631,209500,68900,546400,609600,574400,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,1000,317800,501800,660800,78700,94400,346000,6200,49600,40300,65,33,137,44,8,12,162,60,35,13,223,6,8,157,18,43,4,2,4,130,134275.88541666666,12902.942857142858,18184.21404682274,10474.42367601246,58526.97841726619,86245.68421052632,81585.89743589744,121988.50746268657,-1,-1,22942.36749116608,122070.3313253012,25900.0,-1,-1,-1,-1,-1,-1,-1,4218,5937762,6.72395877099823,39925266.879999995,1259,162554920.0,0,0,-1,0.0,0,-1,-1,202330.58158754185
20230704104557000,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,55600,136700,96725,145300,207631,209500,68900,546400,609600,574400,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,1000,317800,501800,660800,78700,94400,346000,6200,49600,40300,65,33,137,44,8,12,162,60,35,13,223,6,8,157,18,43,4,2,4,130,134275.88541666666,12902.942857142858,18184.21404682274,10474.42367601246,58526.97841726619,86245.68421052632,81585.89743589744,121988.50746268657,-1,-1,22942.36749116608,122070.3313253012,25900.0,-1,-1,-1,-1,-1,-1,-1,4218,5937762,6.72395877099823,39925266.879999995,1259,162554920.0,0,0,-1,0.0,0,-1,-1,202330.58158754185
20230704104600000,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,55600,136700,96725,145300,207631,209500,68900,546400,609600,574400,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,1000,319800,505800,660800,78700,94400,346000,6200,49600,40300,65,33,137,44,8,12,162,60,35,13,223,6,8,157,18,43,4,2,4,131,134275.88541666666,12902.942857142858,18184.21404682274,10474.42367601246,58526.97841726619,86245.68421052632,81585.89743589744,121988.50746268657,-1,-1,22942.36749116608,122070.3313253012,25900.0,-1,-1,-1,-1,-1,-1,-1,4218,5937762,6.72395877099823,39925266.879999995,1259,162554920.0,0,0,-1,0.0,0,-1,-1,202891.7971363709
20230704104603000,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,53000,136700,96725,145300,207631,209500,68900,546400,609600,574400,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,319800,505800,660800,78700,94400,346000,6200,49600,40300,56700,65,33,137,44,8,12,162,60,35,13,223,6,8,157,18,43,4,2,4,131,133080.56701030929,12902.942857142858,18184.21404682274,10474.42367601246,58526.97841726619,86245.68421052632,81585.89743589744,121988.50746268657,-1,-1,122070.3313253012,25900.0,-1,-1,-1,-1,-1,-1,-1,-1,4221,5940362,6.723955950551628,39942712.879999995,1261,162591580.0,3,2600,6.71,17446.0,2,36660.0,18330.0,202675.59114624828
20230704104606000,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,53000,139700,96725,145300,207631,209500,68900,546400,609600,574900,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,319800,505800,660800,78700,94400,346000,6200,49600,40300,56700,65,33,137,44,8,12,162,60,35,13,223,6,8,157,18,43,4,2,4,131,133080.56701030929,12902.942857142858,18184.21404682274,10474.42367601246,58526.97841726619,86245.68421052632,81585.89743589744,121988.50746268657,-1,-1,122070.3313253012,25900.0,-1,-1,-1,-1,-1,-1,-1,-1,4221,5940362,6.723955950551628,39942712.879999995,1261,162591580.0,0,0,-1,0.0,0,-1,-1,227000.65487095746
20230704104609000,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,53100,139700,96725,145300,207631,209500,68900,546400,609600,574900,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,320300,505800,660800,78700,94400,346000,6200,49600,40300,56700,65,33,138,44,8,12,162,60,35,13,223,6,8,157,18,43,4,2,4,131,133080.56701030929,12902.942857142858,18184.21404682274,10474.42367601246,58526.97841726619,86245.68421052632,81585.89743589744,121988.50746268657,-1,-1,122070.3313253012,25900.0,-1,-1,-1,-1,-1,-1,-1,-1,4221,5940362,6.723955950551628,39942712.879999995,1261,162591580.0,0,0,-1,0.0,0,-1,-1,227059.20194758644
20230704104612000,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,53100,139700,96725,145300,207631,209500,68900,546400,609600,574900,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,320300,505800,660800,78700,94400,346000,6200,49600,40300,56700,65,33,138,44,8,12,162,60,35,13,223,6,8,157,18,43,4,2,4,131,133080.56701030929,12902.942857142858,18184.21404682274,10474.42367601246,58526.97841726619,86245.68421052632,81585.89743589744,121988.50746268657,-1,-1,122070.3313253012,25900.0,-1,-1,-1,-1,-1,-1,-1,-1,4221,5940362,6.723955950551628,39942712.879999995,1261,162591580.0,0,0,-1,0.0,0,-1,-1,227059.20194758644
20230704104615000,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,53100,141700,96725,145300,207631,209500,68900,546400,609600,574900,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,320300,505800,660800,78700,94400,346000,6200,49600,40300,56700,65,33,138,44,8,12,162,60,35,13,223,6,8,157,18,43,4,2,4,131,133080.56701030929,12902.942857142858,18184.21404682274,10474.42367601246,58526.97841726619,86245.68421052632,81585.89743589744,121988.50746268657,-1,-1,122070.3313253012,25900.0,-1,-1,-1,-1,-1,-1,-1,-1,4221,5940362,6.723955950551628,39942712.879999995,1261,162591580.0,0,0,-1,0.0,0,-1,-1,227073.00232993468
20230704104618000,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,53100,141700,96725,145300,208231,209500,68900,546400,609600,574900,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,320300,505800,660800,78700,94400,346000,6200,49600,40300,56700,65,33,138,44,8,12,162,60,35,13,223,6,8,157,18,43,4,2,4,131,133080.56701030929,12902.942857142858,18184.21404682274,10474.42367601246,58526.97841726619,86245.68421052632,81585.89743589744,121988.50746268657,-1,-1,122070.3313253012,25900.0,-1,-1,-1,-1,-1,-1,-1,-1,4221,5940362,6.723955950551628,39942712.879999995,1261,162591580.0,0,0,-1,0.0,0,-1,-1,227257.00742791142
20230704104621000,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,53100,141700,96725,145300,208231,209500,68900,546400,609600,574900,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,320300,501800,660800,78700,94400,346000,6200,49600,40300,56700,65,33,138,44,8,12,162,60,35,13,223,6,8,157,18,43,4,2,4,131,133080.56701030929,12902.942857142858,18184.21404682274,10474.42367601246,58526.97841726619,86245.68421052632,81585.89743589744,121988.50746268657,-1,-1,122070.3313253012,25900.0,-1,-1,-1,-1,-1,-1,-1,-1,4221,5940362,6.723955950551628,39942712.879999995,1261,162591580.0,0,0,-1,0.0,0,-1,-1,227284.60819260794
20230704104624000,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,53100,141700,96725,145300,208231,209500,68900,546400,609600,574900,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,320300,501800,660800,78700,94400,346000,6200,49600,40300,56700,65,33,138,44,8,12,162,60,35,13,223,6,8,157,18,43,4,2,4,131,133080.56701030929,12902.942857142858,18184.21404682274,10474.42367601246,58526.97841726619,86245.68421052632,81585.89743589744,121988.50746268657,-1,-1,122070.3313253012,25900.0,-1,-1,-1,-1,-1,-1,-1,-1,4221,5940362,6.723955950551628,39942712.879999995,1261,162591580.0,0,0,-1,0.0,0,-1,-1,227284.60819260794
20230704104627000,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,53100,141700,96725,145300,208231,209500,68900,546400,609600,574900,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,320300,501800,660800,78700,94400,346000,6200,49600,40300,56700,65,33,138,44,8,12,162,60,35,13,223,6,8,157,18,43,4,2,4,131,133080.56701030929,12902.942857142858,18184.21404682274,10474.42367601246,58526.97841726619,86245.68421052632,81585.89743589744,121988.50746268657,-1,-1,122070.3313253012,25900.0,-1,-1,-1,-1,-1,-1,-1,-1,4221,5940362,6.723955950551628,39942712.879999995,1261,162591580.0,0,0,-1,0.0,0,-1,-1,227284.60819260794
20230704104630000,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,53100,141700,96725,145300,208231,209500,68900,546400,609600,574900,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,321300,501800,660800,78700,94400,346000,6200,49600,40300,56700,65,33,138,44,8,12,162,60,35,13,223,6,8,157,18,43,4,2,4,131,133080.56701030929,12902.942857142858,18184.21404682274,10474.42367601246,58526.97841726619,86245.68421052632,81585.89743589744,121988.50746268657,-1,-1,122070.3313253012,25900.0,-1,-1,-1,-1,-1,-1,-1,-1,4221,5940362,6.723955950551628,39942712.879999995,1261,162591580.0,0,0,-1,0.0,0,-1,-1,227008.6005456428
20230704104633000,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,53100,141700,96725,145300,208231,209500,68900,546400,609600,574900,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,327800,501800,660800,78700,94400,346000,6200,49600,40300,56700,65,33,138,44,8,12,162,60,35,13,223,6,8,157,18,43,4,2,4,131,133080.56701030929,12902.942857142858,18184.21404682274,10474.42367601246,58526.97841726619,86245.68421052632,81585.89743589744,121988.50746268657,-1,-1,122070.3313253012,25900.0,-1,-1,-1,-1,-1,-1,-1,-1,4221,5940362,6.723955950551628,39942712.879999995,1261,162591580.0,0,0,-1,0.0,0,-1,-1,227468.61329058465
