timestamp,open_price,high_price,low_price,close_price,volume,money
1686033627,6.38,6.38,6.38,6.38,0,0.0
1686033628,6.38,6.38,6.38,6.38,0,0.0
1686033629,6.38,6.38,6.38,6.38,0,0.0
1686033630,6.37,6.37,6.37,6.37,1400,8918.0
1686033631,6.37,6.37,6.37,6.37,0,0.0
1686033632,6.37,6.37,6.37,6.37,1500,9555.0
1686033633,6.37,6.37,6.37,6.37,0,0.0
1686033634,6.37,6.37,6.37,6.37,200,1274.0
1686033635,6.37,6.37,6.37,6.37,2000,12740.0
1686033636,6.37,6.37,6.37,6.37,0,0.0
1686033637,6.37,6.37,6.36,6.37,3300,21010.0
1686033638,6.37,6.37,6.37,6.37,2900,18473.0
1686033639,6.37,6.37,6.37,6.37,0,0.0
1686033640,6.37,6.37,6.37,6.37,300,1911.0
1686033641,6.37,6.37,6.37,6.37,0,0.0
1686033642,6.37,6.37,6.37,6.37,200,1274.0
1686033643,6.37,6.37,6.37,6.37,900,5733.0
1686033644,6.37,6.37,6.37,6.37,0,0.0
1686033645,6.37,6.37,6.37,6.37,0,0.0
1686033646,6.36,6.36,6.36,6.36,100,636.0
1686033647,6.36,6.36,6.36,6.36,0,0.0
1686033648,6.36,6.36,6.36,6.36,0,0.0
1686033649,6.36,6.36,6.36,6.36,0,0.0
1686033650,6.36,6.36,6.36,6.36,500,3180.0
1686033651,6.36,6.36,6.36,6.36,0,0.0
1686033652,6.36,6.36,6.36,6.36,0,0.0
1686033653,6.37,6.37,6.37,6.37,200,1274.0
1686033654,6.36,6.36,6.36,6.36,3200,20352.0
1686033655,6.36,6.36,6.36,6.36,0,0.0
1686033656,6.36,6.37,6.36,6.37,50100,318637.0
1686033657,6.37,6.37,6.37,6.37,0,0.0
1686033658,6.37,6.37,6.37,6.37,0,0.0
1686033659,6.37,6.37,6.37,6.37,0,0.0
1686033660,6.37,6.37,6.37,6.37,0,0.0
1686033661,6.37,6.37,6.37,6.37,0,0.0
1686033662,6.37,6.37,6.36,6.36,2700,17198.0
1686033663,6.36,6.36,6.36,6.36,0,0.0
1686033664,6.37,6.37,6.37,6.37,200,1274.0
1686033665,6.37,6.37,6.37,6.37,100,637.0
1686033666,6.37,6.37,6.37,6.37,0,0.0
