SecurityID,TransactTime,OrderNo,Price,Balance,OrderBSFlag,OrdType,OrderIndex,ChannelNo,BizIndex
600000,20230228091501590,19524,7.090,500,B,A,37439,5,43010
600000,20230228091501590,19526,7.130,1500,B,A,37440,5,43011
600000,20230228091501720,20518,7.140,1400,B,A,37441,5,43012
600000,20230228091501720,20562,7.400,300,S,A,37442,5,43013
600000,20230228091501720,20698,7.120,500,B,A,37443,5,43014
600000,20230228091501720,20751,7.400,1000,S,A,37444,5,43015
600000,20230228091501720,20833,6.650,1000,B,A,37445,5,43016
600000,20230228091501720,20843,7.880,400,S,A,37446,5,43017
600000,20230228091501720,20855,7.100,500,B,A,37447,5,43018
600000,20230228091501720,20856,7.350,500,S,A,37448,5,43019
600000,20230228091501720,20922,7.800,2000,S,A,37449,5,43020
600000,20230228091501720,20923,7.070,1000,B,A,37450,5,43021
600000,20230228091501720,20977,6.860,100,B,A,37451,5,43022
600000,20230228091501720,20985,7.100,3000,B,A,37452,5,43023
600000,20230228091501720,21019,7.200,400,B,A,37453,5,43024
600000,20230228091501720,21234,7.350,3000,S,A,37454,5,43025
600000,20230228091501720,21235,7.450,3000,S,A,37455,5,43026
600000,20230228091501720,21236,7.550,3000,S,A,37456,5,43027
600000,20230228091501720,21237,7.650,3000,S,A,37457,5,43028
600000,20230228091501720,21238,7.750,3000,S,A,37458,5,43029
600000,20230228091501720,21239,7.800,3000,S,A,37459,5,43030
600000,20230228091501720,21245,7.880,3000,S,A,37460,5,43031
600000,20230228091501840,21637,7.220,3800,S,A,37461,5,43032
600000,20230228091501840,21684,7.500,1000,S,A,37462,5,43033
600000,20230228091501840,21757,7.750,1000,S,A,37463,5,43034
600000,20230228091501840,21773,7.600,2000,S,A,37464,5,43035
600000,20230228091501840,21830,7.800,2000,S,A,37465,5,43036
600000,20230228091501840,21837,7.880,300,S,A,37466,5,43037
600000,20230228091501840,21840,7.390,2000,S,A,37467,5,43038
600000,20230228091501840,21854,7.690,100,S,A,37468,5,43039
600000,20230228091501840,21878,7.030,5000,B,A,37469,5,43040
600000,20230228091501840,22066,7.130,200,B,A,37470,5,43041
600000,20230228091501840,22264,7.370,5000,S,A,37471,5,43042
600000,20230228091501840,22594,7.380,500,S,A,37472,5,43043
600000,20230228091501840,22595,7.100,500,B,A,37473,5,43044
600000,20230228091501840,22677,7.130,1500,B,A,37474,5,43045
600000,20230228091501840,22708,7.400,29000,S,A,37475,5,43046
600000,20230228091501840,23130,7.110,1000,B,A,37476,5,43047
600000,20230228091501840,23150,7.010,1000,B,A,37477,5,43048
600000,20230228091501840,23155,7.130,1000,B,A,37478,5,43049
600000,20230228091501930,23335,7.500,1000,S,A,37479,5,43050
600000,20230228091501930,23336,7.100,1000,B,A,37480,5,43051
600000,20230228091501930,23337,7.000,1000,B,A,37481,5,43052
600000,20230228091501930,23340,7.130,600,B,A,37482,5,43053
600000,20230228091501930,23526,7.130,5000,B,A,37483,5,43054
600000,20230228091501930,23824,7.150,300,B,A,37484,5,43055
600000,20230228091501930,23825,7.350,300,S,A,37485,5,43056
600000,20230228091501930,23895,7.390,300,S,A,37486,5,43057
600000,20230228091501930,23896,7.280,500,S,A,37487,5,43058
600000,20230228091501930,23987,7.100,5000,B,A,37488,5,43059
600000,20230228091501930,24037,7.060,100,B,A,37489,5,43060
600000,20230228091501930,24123,7.100,500,B,A,37490,5,43061
600000,20230228091501930,24160,7.140,5000,B,A,37491,5,43062
600000,20230228091501930,24249,7.140,14000,B,A,37492,5,43063
600000,20230228091501930,24513,7.000,500,B,A,37493,5,43064
600000,20230228091501930,24620,7.400,600,S,A,37494,5,43065
600000,20230228091502030,25332,7.000,600,B,A,37495,5,43066
600000,20230228091502030,25370,7.320,500,S,A,37496,5,43067
600000,20230228091502030,25371,7.370,700,S,A,37497,5,43068
600000,20230228091502030,25494,7.760,100,S,A,37498,5,43069
600000,20230228091502030,25551,6.820,100,B,A,37499,5,43070
600000,20230228091502030,25668,7.110,1200,B,A,37500,5,43071
600000,20230228091502030,25669,7.070,1200,B,A,37501,5,43072
600000,20230228091502030,25890,7.880,300,S,A,37502,5,43073
600000,20230228091502030,26136,7.880,5000,S,A,37503,5,43074
600000,20230228091502030,26730,7.030,300,B,A,37504,5,43075
600000,20230228091502140,26850,7.780,300,S,A,37505,5,43076
600000,20230228091502140,26851,7.880,300,S,A,37506,5,43077
600000,20230228091502140,27313,7.000,100,B,A,37507,5,43078
600000,20230228091502140,27378,7.110,5500,B,A,37508,5,43079
600000,20230228091502140,27389,7.110,9700,B,A,37509,5,43080
600000,20230228091502140,27516,7.140,10000,B,A,37510,5,43081
600000,20230228091502140,27518,7.240,10000,S,A,37511,5,43082
600000,20230228091502140,27666,6.820,5000,B,A,37512,5,43083
600000,20230228091502140,27669,7.550,4500,S,A,37513,5,43084
600000,20230228091502140,28321,7.000,400,B,A,37514,5,43085
600000,20230228091502140,28545,7.880,2000,S,A,37515,5,43086
600000,20230228091502270,29099,7.300,200,S,A,37516,5,43087
600000,20230228091502270,29362,7.340,100,B,A,37517,5,43088
600000,20230228091502270,29688,7.100,500,B,A,37518,5,43089
600000,20230228091502270,29884,7.160,600,S,A,37519,5,43090
600000,20230228091502270,29918,7.060,1500,B,A,37520,5,43091
600000,20230228091502270,30527,7.140,3000,B,A,37521,5,43092
600000,20230228091502400,30760,7.140,1000,B,A,37522,5,43093
600000,20230228091502400,30799,7.880,3500,S,A,37523,5,43094
600000,20230228091502400,31299,7.370,3500,S,A,37524,5,43095
600000,20230228091502400,31607,7.660,1900,S,A,37525,5,43096
600000,20230228091502400,32050,7.300,4300,S,A,37526,5,43097
600000,20230228091502400,32143,7.140,12800,B,A,37527,5,43098
600000,20230228091502530,32614,7.270,1300,S,A,37528,5,43099
600000,20230228091502530,33103,7.250,2000,S,A,37529,5,43100
600000,20230228091502530,33121,7.080,500,B,A,37530,5,43101
600000,20230228091502530,33426,7.110,20000,B,A,37531,5,43102
600000,20230228091502530,33858,7.230,10000,S,A,37532,5,43103
600000,20230228091502530,34229,7.350,1000,S,A,37533,5,43104
600000,20230228091502530,34376,7.870,400,S,A,37534,5,43105
600000,20230228091502530,34453,7.860,100,S,A,37535,5,43106
600000,20230228091502650,34515,7.550,200,S,A,37536,5,43107
600000,20230228091502650,34639,7.130,900,B,A,37537,5,43108
600000,20230228091502650,34784,7.880,1000,S,A,37538,5,43109
600000,20230228091502650,34787,7.290,30100,S,A,37539,5,43110
600000,20230228091502650,34824,7.450,300,S,A,37540,5,43111
600000,20230228091502650,34830,7.100,100,B,A,37541,5,43112
600000,20230228091502650,34955,7.190,5000,S,A,37542,5,43113
600000,20230228091502650,34956,7.200,5000,S,A,37543,5,43114
600000,20230228091502650,35116,7.110,600,B,A,37544,5,43115
600000,20230228091502690,35332,7.150,600,B,A,37545,5,43116
600000,20230228091502690,35344,6.480,100,B,A,37546,5,43117
600000,20230228091502690,35464,7.380,800,S,A,37547,5,43118
600000,20230228091502690,35792,7.000,1000,B,A,37548,5,43119
600000,20230228091502690,35793,6.900,1000,B,A,37549,5,43120
600000,20230228091502690,35794,6.800,1000,B,A,37550,5,43121
600000,20230228091502690,35866,6.600,1000,B,A,37551,5,43122
600000,20230228091502690,35867,6.500,2000,B,A,37552,5,43123
600000,20230228091502690,35899,7.110,400,B,A,37553,5,43124
600000,20230228091502690,36177,7.390,400,S,A,37554,5,43125
600000,20230228091502690,36181,7.490,400,S,A,37555,5,43126
600000,20230228091502690,36204,7.590,400,S,A,37556,5,43127
600000,20230228091502690,36296,7.090,2000,B,A,37557,5,43128
600000,20230228091502690,36297,6.980,2000,B,A,37558,5,43129
600000,20230228091502690,36619,7.320,3000,S,A,37559,5,43130
600000,20230228091502690,36948,7.090,100,B,A,37560,5,43131
600000,20230228091502690,37012,7.880,400,S,A,37561,5,43132
600000,20230228091502690,37152,7.200,5000,S,A,37562,5,43133
600000,20230228091502690,37155,7.880,200,S,A,37563,5,43134
600000,20230228091502690,37157,7.240,5000,S,A,37564,5,43135
600000,20230228091502690,37180,7.100,5000,B,A,37565,5,43136
600000,20230228091502830,37212,7.500,1000,S,A,37566,5,43137
600000,20230228091502830,37213,7.000,1000,B,A,37567,5,43138
600000,20230228091502830,37338,7.450,100,S,A,37568,5,43139
600000,20230228091502830,37915,7.130,800,B,A,37569,5,43140
600000,20230228091502830,37961,7.050,1000,B,A,37570,5,43141
600000,20230228091502830,38030,7.370,4000,S,A,37571,5,43142
600000,20230228091502830,38094,7.150,7100,B,A,37572,5,43143
600000,20230228091502830,38100,7.100,7300,B,A,37573,5,43144
600000,20230228091502830,38141,7.030,1500,B,A,37574,5,43145
600000,20230228091502830,38142,7.490,1500,S,A,37575,5,43146
600000,20230228091502830,38148,6.920,1500,B,A,37576,5,43147
600000,20230228091502830,38149,7.660,1500,S,A,37577,5,43148
600000,20230228091502830,38156,6.940,900,B,A,37578,5,43149
600000,20230228091502830,38257,7.700,1000,S,A,37579,5,43150
600000,20230228091502830,38400,7.840,1400,S,A,37580,5,43151
600000,20230228091502830,38441,7.020,1500,B,A,37581,5,43152
600000,20230228091503000,39176,7.400,3800,S,A,37582,5,43153
600000,20230228091503000,39193,7.220,10000,S,A,37583,5,43154
600000,20230228091503070,40616,7.000,600,B,A,37584,5,43155
600000,20230228091503070,40645,7.140,600,B,A,37585,5,43156
600000,20230228091503070,40833,7.880,5000,S,A,37586,5,43157
600000,20230228091503070,40946,7.140,2000,B,A,37587,5,43158
600000,20230228091503070,41408,7.590,300,S,A,37588,5,43159
600000,20230228091503070,41618,7.150,5900,B,A,37589,5,43160
600000,20230228091503070,41829,7.200,4700,S,A,37590,5,43161
600000,20230228091503070,41838,7.210,4700,S,A,37591,5,43162
600000,20230228091503070,41930,7.250,5800,S,A,37592,5,43163
600000,20230228091503070,41934,7.320,5700,S,A,37593,5,43164
600000,20230228091503070,41980,7.130,1000,B,A,37594,5,43165
600000,20230228091503190,42143,7.130,800,B,A,37595,5,43166
600000,20230228091503190,42292,7.100,1000,B,A,37596,5,43167
600000,20230228091503190,42332,7.590,1000,S,A,37597,5,43168
600000,20230228091503190,42390,7.240,15900,S,A,37598,5,43169
600000,20230228091503190,42444,7.260,16000,S,A,37599,5,43170
600000,20230228091503190,42453,7.880,2000,S,A,37600,5,43171
600000,20230228091503190,42504,7.870,19000,S,A,37601,5,43172
600000,20230228091503190,42507,7.140,6000,B,A,37602,5,43173
600000,20230228091503190,42515,7.790,1700,S,A,37603,5,43174
600000,20230228091503190,42582,7.410,3000,S,A,37604,5,43175
600000,20230228091503190,42584,7.520,1000,S,A,37605,5,43176
600000,20230228091503190,42602,7.110,300,B,A,37606,5,43177
600000,20230228091503190,42615,7.630,1000,S,A,37607,5,43178
600000,20230228091503190,42855,7.880,1500,S,A,37608,5,43179
600000,20230228091503190,42894,7.290,500,S,A,37609,5,43180
