timestamp,preclose,open,high,low,close,preclose_range,open_range,high_range,low_range,close_range,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,ask_volume_0,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4,ask_volume_5,ask_volume_6,ask_volume_7,ask_volume_8,ask_volume_9,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,bid_volume_0,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,bid_volume_5,bid_volume_6,bid_volume_7,bid_volume_8,bid_volume_9,ask_order_num_0,ask_order_num_1,ask_order_num_2,ask_order_num_3,ask_order_num_4,ask_order_num_5,ask_order_num_6,ask_order_num_7,ask_order_num_8,ask_order_num_9,bid_order_num_0,bid_order_num_1,bid_order_num_2,bid_order_num_3,bid_order_num_4,bid_order_num_5,bid_order_num_6,bid_order_num_7,bid_order_num_8,bid_order_num_9,ask_order_stale_0,ask_order_stale_1,ask_order_stale_2,ask_order_stale_3,ask_order_stale_4,ask_order_stale_5,ask_order_stale_6,ask_order_stale_7,ask_order_stale_8,ask_order_stale_9,bid_order_stale_0,bid_order_stale_1,bid_order_stale_2,bid_order_stale_3,bid_order_stale_4,bid_order_stale_5,bid_order_stale_6,bid_order_stale_7,bid_order_stale_8,bid_order_stale_9,order_num,volume,VWAP,amount,passive_num,passive_stale_total,order_num_range,volume_range,VWAP_range,amount_range,passive_num_range,passive_stale_total_range,passive_stale_avg_range,depth
20230721100245000,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.68,6.69,6.7,6.71,6.72,6.73,6.74,6.75,6.76,6.77,52200,406539,785200,144939,428400,96900,108800,246800,456800,55300,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,6.6,6.59,464200,62300,173700,148700,148200,128100,104100,163600,511200,314100,5,19,32,5,21,1,26,16,30,15,9,33,21,14,10,31,402,123,0,428,197006.07142857142,2298813.2653061226,0.0,380.0,-1,-1,-1,-1,-1,-1,59043.01775147929,9917.236842105263,6193.076923076923,31413.963414634145,16863.527777777777,58649.4472361809,35694.017094017094,1713.9032258064517,57360.49504950495,40.0,4329,7297600,6.641242957958781,48465134.61,1435,275509540,0,0,-1,0.0,0,-1,-1,257081.74960172054
20230721100248000,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.68,6.69,6.7,6.71,6.72,6.73,6.74,6.75,6.76,6.77,52200,406939,787200,144939,428400,96900,108800,246800,456800,55300,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,6.6,6.59,469800,62300,173700,148700,148200,128100,104100,163600,511200,314100,5,19,32,5,21,1,26,16,30,15,9,33,21,14,10,31,402,123,0,428,197006.07142857142,2298813.2653061226,0.0,380.0,-1,-1,-1,-1,-1,-1,59043.01775147929,9917.236842105263,6193.076923076923,31413.963414634145,16863.527777777777,58649.4472361809,35694.017094017094,1713.9032258064517,57360.49504950495,40.0,4329,7297600,6.641242957958781,48465134.61,1435,275509540,0,0,-1,0.0,0,-1,-1,257688.9664250438
20230721100251000,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.68,6.69,6.7,6.71,6.72,6.73,6.74,6.75,6.76,6.77,49000,403739,787200,144939,428400,96900,108800,246800,456800,55300,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,6.6,6.59,479800,62700,173700,148700,148200,128100,104100,163600,511200,314100,5,19,32,5,21,1,26,16,30,15,9,33,21,14,10,31,402,123,0,428,197006.07142857142,2298813.2653061226,0.0,380.0,-1,-1,-1,-1,-1,-1,59043.01775147929,9917.236842105263,6193.076923076923,31413.963414634145,16863.527777777777,58649.4472361809,35694.017094017094,1713.9032258064517,57360.49504950495,40.0,4331,7300800,6.6412643285667325,48486542.61,1435,275509540,2,3200,6.6412643285667325,21408.0,0,-1,-1,257992.5748367054
20230721100254000,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.68,6.69,6.7,6.71,6.72,6.73,6.74,6.75,6.76,6.77,48100,403139,787200,144939,428400,96900,108800,246800,456800,55300,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,6.6,6.59,483600,62700,173700,148700,148200,128100,104100,163600,511200,314100,5,19,32,5,21,1,26,16,30,15,9,33,21,14,10,31,402,123,0,428,197006.07142857142,2298813.2653061226,0.0,380.0,-1,-1,-1,-1,-1,-1,59043.01775147929,9917.236842105263,6193.076923076923,31413.963414634145,16863.527777777777,58649.4472361809,35694.017094017094,1713.9032258064517,57360.49504950495,40.0,4333,7301700,6.641270335675253,48492563.61,1435,275509540,2,900,6.641270335675253,6021.0,0,-1,-1,233547.66186076152
20230721100257000,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.68,6.69,6.7,6.71,6.72,6.73,6.74,6.75,6.76,6.77,48100,403139,787200,144939,428400,96900,108800,246800,456800,55300,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,6.6,6.59,483600,62700,173700,151700,148200,128100,104100,163600,511200,314100,5,19,32,5,21,1,26,16,30,15,9,33,21,14,10,31,402,123,0,428,197006.07142857142,2298813.2653061226,0.0,380.0,-1,-1,-1,-1,-1,-1,59043.01775147929,9917.236842105263,6193.076923076923,31413.963414634145,16863.527777777777,58649.4472361809,35694.017094017094,1713.9032258064517,57360.49504950495,40.0,4333,7301700,6.641270335675253,48492563.61,1435,275509540,0,0,-1,0.0,0,-1,-1,258162.7795523339
20230721100300000,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.68,6.69,6.7,6.71,6.72,6.73,6.74,6.75,6.76,6.77,48100,403139,787200,144939,428400,96900,108800,246800,456800,55300,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,6.6,6.59,483600,62700,173700,151700,148200,128100,104100,163600,511200,314100,5,19,32,5,21,1,26,16,30,15,9,33,21,14,10,31,402,123,0,428,197006.07142857142,2298813.2653061226,0.0,380.0,-1,-1,-1,-1,-1,-1,59043.01775147929,9917.236842105263,6193.076923076923,31413.963414634145,16863.527777777777,58649.4472361809,35694.017094017094,1713.9032258064517,57360.49504950495,40.0,4333,7301700,6.641270335675253,48492563.61,1435,275509540,0,0,-1,0.0,0,-1,-1,258162.7795523339
20230721100303000,6.69,6.68,6.68,6.68,6.68,6.69,6.69,6.69,6.68,6.68,6.68,6.69,6.7,6.71,6.72,6.73,6.74,6.75,6.76,6.77,47800,402839,792200,144939,428400,96900,108800,246800,456800,55300,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,6.6,6.59,482900,62700,173700,151700,148200,128100,104100,163600,511200,314100,5,19,32,5,21,1,26,16,30,15,9,33,21,14,10,31,402,123,0,428,194688.35294117648,2298813.2653061226,0.0,380.0,-1,-1,-1,-1,-1,-1,59043.01775147929,9917.236842105263,6193.076923076923,31413.963414634145,16863.527777777777,58649.4472361809,35694.017094017094,1713.9032258064517,57360.49504950495,40.0,4335,7307200,6.641299897361506,48529306.61,1435,275509540,2,5500,6.641299897361506,36743.0,0,-1,-1,258167.37967978333
20230721100306000,6.69,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.69,6.7,6.71,6.72,6.73,6.74,6.75,6.76,6.77,47800,402839,792200,144939,428400,96900,108800,246800,459800,55300,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,6.6,6.59,483900,62600,173700,151700,148200,128100,104100,163600,511200,314100,5,19,32,5,21,1,26,16,30,15,9,33,21,14,10,31,402,123,0,428,194688.35294117648,2298813.2653061226,0.0,380.0,-1,-1,-1,-1,-1,-1,59043.01775147929,9917.236842105263,6193.076923076923,31413.963414634145,16863.527777777777,58649.4472361809,35694.017094017094,1713.9032258064517,57360.49504950495,40.0,4335,7307200,6.641299897361506,48529306.61,1435,275509540,0,0,-1,0.0,0,-1,-1,258687.19408156764
20230721100309000,6.69,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.69,6.7,6.71,6.72,6.73,6.74,6.75,6.76,6.77,47800,402839,792200,144939,428400,96900,108800,246800,459800,55300,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,6.6,6.59,483900,62600,173700,151700,148200,128100,104100,163600,511200,314100,5,19,32,5,21,1,26,16,30,15,9,33,21,14,10,31,402,123,0,428,194688.35294117648,2298813.2653061226,0.0,380.0,-1,-1,-1,-1,-1,-1,59043.01775147929,9917.236842105263,6193.076923076923,31413.963414634145,16863.527777777777,58649.4472361809,35694.017094017094,1713.9032258064517,57360.49504950495,40.0,4335,7307200,6.641299897361506,48529306.61,1435,275509540,0,0,-1,0.0,0,-1,-1,258680.29389039348
20230721100312000,6.68,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.68,6.69,6.7,6.71,6.72,6.73,6.74,6.75,6.76,6.77,46900,401939,792500,144939,428400,96900,108800,246800,459800,55300,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,6.6,6.59,483900,62600,173700,151700,148200,128100,104100,163600,511200,316100,5,19,32,5,21,1,26,16,30,15,9,33,21,14,10,31,402,123,0,428,194688.35294117648,2298813.2653061226,0.0,380.0,-1,-1,-1,-1,-1,-1,59043.01775147929,9917.236842105263,6193.076923076923,31413.963414634145,16863.527777777777,58649.4472361809,35694.017094017094,1713.9032258064517,57360.49504950495,40.0,4336,7308100,6.641305894829025,48535327.61,1435,275509540,1,900,6.641305894829025,6021.0,0,-1,-1,258539.99000318622
